symbol,local_volume_change_percent
ALPHAUSDT,6.06
RSRUSDT,-44.0
ETHUSDT_240927,-4.64
MINAUSDT,5.13
POWRUSDT,-12.88
BNXUSDT,-9.07
ICXUSDT,24.94
ARPAUSDT,5.02
COMPUSDT,-19.32
WAVESUSDT,0.0
1000FLOKIUSDT,18.68
XEMUSDT,29.85
RENUSDT,-22.79
STORJUSDT,22.58
ETHBTC,-9.28
CVXUSDT,0.0
HBARUSDT,3.27
VOXELUSDT,0.06
OMGUSDT,44.81
ZENUSDT,21.31
INJUSDT,-0.91
METISUSDT,91.73
RUNEUSDT,-26.2
BTCDOMUSDT,70.02
LDOUSDT,-20.5
ICPUSDT,23.52
SKLUSDT,-1.52
PENDLEUSDT,13.4
EOSUSDT,19.05
SSVUSDT,-9.12
ARBUSDC,26.81
WLDUSDC,-7.66
ATOMUSDT,88.09
CTSIUSDT,12.83
ONTUSDT,-7.96
XAIUSDT,-28.34
LEVERUSDT,-8.19
DOGEUSDT,-6.96
FETUSDT,-22.22
FILUSDT,20.44
BNBUSDT,-8.29
AIUSDT,73.78
MAVIAUSDT,-33.94
EDUUSDT,0.08
LRCUSDT,5.94
IOTXUSDT,24.32
SNXUSDT,-20.29
RENDERUSDT,36.34
ETHUSDT_241227,3.94
1000BONKUSDC,18.38
ETHUSDT,-12.37
DYMUSDT,14.52
IDEXUSDT,0.0
BANANAUSDT,14.94
SOLUSDC,-22.33
FLMUSDT,19.91
NTRNUSDT,-23.77
WLDUSDT,-2.91
CYBERUSDT,130.96
SOLUSDT,-8.03
SLPUSDT,0.0
ALGOUSDT,14.04
TIAUSDT,-25.19
RIFUSDT,-40.9
BIGTIMEUSDT,19.14
FTMUSDT,-25.87
KASUSDT,41.38
CKBUSDT,-53.09
PIXELUSDT,-24.75
TWTUSDT,-14.65
TUSDT,-14.35
ETHFIUSDT,-7.81
WUSDT,1.38
